Numéro de la cellule,Centre de la cellule,Surface
28,"(129.38683602771363, 837.9884526558891)",866
29,"(769.1215909090909, 881.3568181818182)",880
30,"(466.692, 890.9916666666667)",3000
31,"(842.3823953823954, 902.4862914862915)",693
32,"(73.18779342723005, 909.7546948356808)",852
33,"(642.775974025974, 928.75)",1232
34,"(733.8204134366925, 966.7519379844962)",774
35,"(22.078212290502794, 978.8477653631285)",1432
36,"(291.8412371134021, 991.1505154639175)",485
37,"(865.7629310344828, 1004.058908045977)",696
38,"(746.4, 1021.6)",45
1,"(55.89358974358974, 29.638461538461538)",1560
2,"(142.81190747061055, 67.7364429275692)",2637
3,"(218.28375668449198, 149.75467914438502)",2992
4,"(9.802890932982917, 151.86202365308804)",761
5,"(89.32042910447761, 151.50746268656715)",2144
6,"(642.3985695708712, 294.9492847854356)",1538
7,"(176.9319606087735, 322.455684870188)",1117
8,"(229.52807646356032, 357.03345280764637)",837
9,"(118.98631476050831, 410.396871945259)",1023
10,"(189.03184165232358, 430.86230636833045)",1162
11,"(584.3759689922481, 441.7984496124031)",1548
12,"(387.22049956933677, 448.01808785529715)",1161
13,"(466.96826688364524, 451.0740439381611)",1229
14,"(63.675824175824175, 468.2464678178964)",1274
15,"(455.84388185654007, 503.0590717299578)",1185
16,"(569.5203506574828, 510.06887914840325)",1597
17,"(495.4341123818995, 600.8184982595724)",2011
18,"(791.06239460371, 595.2596964586846)",593
19,"(592.0374064837905, 617.8886118038238)",1203
20,"(737.2195676905575, 612.9920364050057)",879
21,"(67.59613428280772, 636.7314343845371)",983
22,"(1021.3090909090909, 670.9636363636364)",55
23,"(674.3818181818182, 704.6545454545454)",165
24,"(537.5, 702.5)",36
25,"(763.972760290557, 729.0581113801453)",1652
26,"(98.48952590959206, 738.0507166482911)",907
27,"(198.87873303167422, 765.5737556561086)",1105
28,"(858.7317695053545, 771.0423253442121)",1961
29,"(704.7668364459536, 802.6179966044143)",1767
30,"(133.64294049008168, 838.6452742123687)",857
31,"(773.3196930946292, 875.6317135549872)",782
32,"(467.0365686944634, 891.0618591934382)",2926
33,"(842.4274193548387, 900.1680107526881)",744
34,"(69.86813186813187, 908.021978021978)",819
35,"(619.4764079147641, 955.2648401826484)",657
36,"(736.0037735849056, 967.6138364779874)",795
37,"(21.306851311953352, 980.1574344023323)",1372
38,"(287.2326139088729, 991.8081534772182)",417
39,"(865.6450662739322, 1007.2459499263623)",679
40,"(746.0, 1022.0)",27
1,"(55.378714581893576, 27.971665514858326)",1447
2,"(141.81377744133232, 68.5772142316427)",2642
3,"(218.2608695652174, 149.66330434782608)",2875
4,"(10.386034255599473, 152.8300395256917)",759
5,"(88.15391969407266, 151.42925430210326)",2092
6,"(630.5770750988142, 295.11801242236027)",1771
7,"(177.31801801801802, 322.6171171171171)",1110
8,"(229.6359223300971, 357.69174757281553)",824
9,"(118.01272015655577, 410.5929549902153)",1022
10,"(188.32859531772576, 432.49414715719064)",1196
11,"(586.5246433203631, 440.6815823605707)",1542
12,"(386.4723441615452, 448.73485513608426)",1139
13,"(466.5261382799325, 451.13827993254637)",1186
14,"(62.26148969889065, 467.10855784469095)",1262
15,"(459.3987511150758, 502.2194469223907)",1121
16,"(569.141131595677, 511.25492689129055)",1573
17,"(495.87638668779715, 600.8906497622821)",1893
18,"(790.8679549114331, 594.7713365539453)",621
19,"(592.6365935919056, 616.8018549747048)",1186
20,"(739.206650831354, 615.1947743467933)",842
21,"(70.82944915254237, 639.9851694915254)",944
22,"(1022.0, 676.5)",24
23,"(673.1884057971015, 704.0434782608696)",138
24,"(536.5, 702.0)",30
25,"(764.5870927318296, 728.4323308270676)",1596
26,"(95.76717112922002, 738.6949941792782)",859
27,"(200.63311382878646, 765.1392285983067)",1063
28,"(858.9589632829374, 766.9287257019438)",1852
29,"(700.9024390243902, 802.5672149744753)",1763
30,"(137.8213457076566, 837.8387470997679)",862
31,"(772.6977611940298, 876.5957711442786)",804
32,"(467.1582323592302, 890.4896650035638)",2806
33,"(839.9782923299566, 900.3690303907381)",691
34,"(68.99248120300751, 907.8258145363409)",798
35,"(613.2954990215264, 960.2240704500979)",1022
36,"(736.340506329114, 967.5354430379747)",790
37,"(20.236453201970445, 979.63406052076)",1421
38,"(859.855421686747, 1007.8509036144578)",664
39,"(289.95652173913044, 995.0652173913044)",46
1,"(56.687808315715294, 25.61663143058492)",1419
2,"(142.51105079488173, 67.59829391236913)",2579
3,"(218.58564321250887, 147.9399431414357)",2814
4,"(10.947837150127226, 151.57124681933843)",786
5,"(87.8798430603237, 149.06473761647865)",2039
6,"(628.7530732228755, 289.76803848209516)",1871
7,"(176.73193046660566, 321.9981701738335)",1093
8,"(230.96518607442977, 357.22208883553424)",833
9,"(117.51550387596899, 410.5406976744186)",1032
10,"(188.62854757929884, 431.3338898163606)",1198
11,"(589.7160178685386, 437.6260370134014)",1567
12,"(385.8602811950791, 448.8479789103691)",1138
13,"(463.2189292543021, 449.1940726577438)",1046
14,"(61.91893998441154, 468.1839438815277)",1283
15,"(497.0, 454.0)",25
16,"(461.76584507042253, 500.6267605633803)",1136
17,"(569.445022771633, 511.56473649967467)",1537
18,"(496.79692645444567, 598.5455543358946)",1822
19,"(790.8685064935065, 593.375)",616
20,"(592.9152404237979, 613.9348003259984)",1227
21,"(739.9380022962113, 615.231917336395)",871
22,"(72.96312364425162, 642.4305856832972)",922
23,"(671.4959349593496, 702.3983739837398)",123
24,"(764.8979717271051, 727.2851874615858)",1627
25,"(95.78478002378121, 736.8525564803805)",841
26,"(203.04307974335472, 763.186067827681)",1091
27,"(858.6374108612177, 768.3976961053208)",1823
28,"(700.0218642117376, 801.807249712313)",1738
29,"(140.76736111111111, 836.7905092592592)",864
30,"(773.0602883355177, 873.6356487549148)",763
31,"(467.5423670668954, 889.5283018867924)",2915
32,"(835.5530726256983, 899.254189944134)",716
33,"(67.99017199017199, 908.2886977886977)",814
34,"(616.2252873563218, 950.4819923371648)",1305
35,"(20.401087695445277, 977.5703602991163)",1471
36,"(735.3081155433288, 967.6574965612105)",727
